,每日美元即期匯率 - 銀行與顧客間交易匯率 - 買進 - 第一商業銀行 (新台幣元),每日美元即期匯率 - 銀行與顧客間交易匯率 - 賣出 - 第一商業銀行 (新台幣元),美元兌新台幣遠期匯率 - 10 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 10 天 - 賣出匯率 (新台幣元),美元兌新台幣遠期匯率 - 120 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 120 天 - 賣出匯率 (新台幣元),美元兌新台幣遠期匯率 - 180 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 180 天 - 賣出匯率 (新台幣元),美元兌新台幣遠期匯率 - 30 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 30 天 - 賣出匯率 (新台幣元),美元兌新台幣遠期匯率 - 60 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 60 天 - 賣出匯率 (新台幣元),美元兌新台幣遠期匯率 - 90 天 - 買入匯率 (新台幣元),美元兌新台幣遠期匯率 - 90 天 - 賣出匯率 (新台幣元)
DATE,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD
199111,NA,NA,25.71,25.82,25.86,26.04,25.95,26.14,25.75,25.88,25.78,25.93,25.84,25.99
199112,25.7,25.8,25.71,25.81,25.82,25.97,25.9,26.1,25.72,25.84,25.76,25.89,25.79,25.94
199201,24.95,25.05,24.96,25.08,25.08,25.3,25.14,25.38,24.99,25.13,25.02,25.2,25.05,25.24
199202,25.09,25.19,25.1,25.22,25.21,25.4,25.27,25.48,25.12,25.26,25.15,25.32,25.18,25.37
199203,25.48,25.58,25.48,25.6,25.58,25.78,25.65,25.86,25.49,25.63,25.53,25.7,25.55,25.73
199204,25.18,25.28,25.19,25.32,25.35,25.55,25.43,25.68,25.23,25.38,25.27,25.43,25.31,25.48
199205,24.84,24.94,24.84,24.94,24.97,25.23,25,25.3,24.89,25.06,24.9,25.12,24.92,25.16
199206,24.6,24.7,24.58,24.68,24.65,24.99,24.7,25.08,24.57,24.8,24.59,24.83,24.62,24.91
199207,24.89,24.99,24.89,25.03,24.86,25.23,24.87,25.31,24.81,25.09,24.82,25.13,24.84,25.19
